classifier_name,dataset_name,accuracy
Inception,DodgerLoopGame,0.8464
Inception,DodgerLoopWeekend,0.9681
Inception,ECG200,0.926
Inception,ECG5000,0.9379
Inception,ECGFiveDays,0.9986
Inception,EOGHorizontalSignal,0.5851
Inception,EOGVerticalSignal,0.4652
Inception,Earthquakes,0.7295
Inception,ElectricDevices,0.7061
Inception,EthanolLevel,0.812
Inception,FaceAll,0.7908
Inception,FaceFour,0.9614
Inception,FacesUCR,0.9661
Inception,FiftyWords,0.8202
Inception,Fish,0.9771
Inception,FordA,0.9558
Inception,FordB,0.8489
Inception,FreezerRegularTrain,0.9962
Inception,FreezerSmallTrain,0.8556
Inception,Fungi,1
Inception,GestureMidAirD1,0.7138
Inception,GestureMidAirD2,0.7
Inception,GestureMidAirD3,0.3692
Inception,GesturePebbleZ1,0.9233
Inception,GesturePebbleZ2,0.881
Inception,GunPoint,0.9987
Inception,GunPointAgeSpan,0.9886
Inception,GunPointMaleVersusFemale,0.9943
Inception,GunPointOldVersusYoung,0.9689
Inception,Ham,0.7143
Inception,HandOutlines,0.9454
Inception,Haptics,0.5455
Inception,Herring,0.6844
Inception,HouseTwenty,0.9798
Inception,InlineSkate,0.4807
Inception,InsectEPGRegularTrain,0.9968
Inception,InsectEPGSmallTrain,0.9414
Inception,InsectWingbeatSound,0.6291
Inception,ItalyPowerDemand,0.966
Inception,LargeKitchenAppliances,0.9008
Inception,Lightning2,0.7902
Inception,Lightning7,0.8137
Inception,Mallat,0.956
Inception,Meat,0.93
Inception,MedicalImages,0.7916
Inception,MelbournePedestrian,0.9054
Inception,MiddlePhalanxOutlineAgeGroup,0.5221
Inception,MiddlePhalanxOutlineCorrect,0.8213
Inception,MiddlePhalanxTW,0.5039
Inception,MixedShapesRegularTrain,0.9644
Inception,MixedShapesSmallTrain,0.9101
Inception,MoteStrain,0.8949
Inception,NonInvasiveFetalECGThorax1,0.9563
Inception,NonInvasiveFetalECGThorax2,0.9575
Inception,OSULeaf,0.9298
Inception,OliveOil,0.8467
Inception,PLAID,0.9371
Inception,PhalangesOutlinesCorrect,0.8347
Inception,Phoneme,0.329
Inception,PickupGestureWiimoteZ,0.748
Inception,PigAirwayPressure,0.748
Inception,PigArtPressure,0.9923
Inception,PigCVP,0.9481
Inception,Plane,1
Inception,PowerCons,0.95
Inception,ProximalPhalanxOutlineAgeGroup,0.8332
Inception,ProximalPhalanxOutlineCorrect,0.9134
Inception,ProximalPhalanxTW,0.7698
Inception,RefrigerationDevices,0.5131
Inception,Rock,0.78
Inception,ScreenType,0.5845
Inception,SemgHandGenderCh2,0.8153
Inception,SemgHandMovementCh2,0.4067
Inception,SemgHandSubjectCh2,0.7849
Inception,ShakeGestureWiimoteZ,0.888
Inception,ShapeletSim,0.9522
